Date,PM2_5,PM10
01-01-2018 00:00,156.25,520.27
02-01-2018 00:00,206.58,630.55
03-01-2018 00:00,131.16,366.86
04-01-2018 00:00,223.67,323.72
05-01-2018 00:00,224.11,330.63
06-01-2018 00:00,279.16,421.11
07-01-2018 00:00,188.91,305.58
08-01-2018 00:00,180.93,317.72
09-01-2018 00:00,230.75,386.42
10-01-2018 00:00,188.06,294.61
11-01-2018 00:00,164.22,281.34
12-01-2018 00:00,177.7,333.17
13-01-2018 00:00,148.41,405.93
14-01-2018 00:00,63.68,280.47
15-01-2018 00:00,59.74,349.73
16-01-2018 00:00,110.98,307.17
17-01-2018 00:00,200.7,307.38
18-01-2018 00:00,347.13,543.74
19-01-2018 00:00,118.98,414.06
20-01-2018 00:00,71.35,306.66
21-01-2018 00:00,62.78,325.9
22-01-2018 00:00,161.87,466.85
23-01-2018 00:00,146.28,234.25
24-01-2018 00:00,144.19,233.77
25-01-2018 00:00,91.58,218.21
26-01-2018 00:00,146.99,231.49
27-01-2018 00:00,192.66,321.75
28-01-2018 00:00,157.39,277.47
29-01-2018 00:00,168.15,310.14
30-01-2018 00:00,148.33,244.35
31-01-2018 00:00,140.11,223.58
01-02-2018 00:00,137.91,287.05
02-02-2018 00:00,133.66,284.3
03-02-2018 00:00,107.62,228.77
04-02-2018 00:00,114.5,230.59
05-02-2018 00:00,156.5,286.36
06-02-2018 00:00,150.88,267.41
07-02-2018 00:00,133.42,249.7
08-02-2018 00:00,186.98,372.18
09-02-2018 00:00,201.64,374.85
10-02-2018 00:00,231.09,400.72
11-02-2018 00:00,153.42,297.8
12-02-2018 00:00,57.79,107.19
13-02-2018 00:00,94.96,155.47
14-02-2018 00:00,89.66,141.91
15-02-2018 00:00,83.76,155.93
16-02-2018 00:00,119.04,220.77
17-02-2018 00:00,115.6,228.42
18-02-2018 00:00,118.24,210.25
19-02-2018 00:00,170.91,319.66
20-02-2018 00:00,170.05,331.48
21-02-2018 00:00,193.95,397.9
22-02-2018 00:00,166.67,332.7
23-02-2018 00:00,195.13,388.89
24-02-2018 00:00,145.64,302.79
25-02-2018 00:00,100.96,198.27
26-02-2018 00:00,96.31,152.87
27-02-2018 00:00,115.57,199.84
28-02-2018 00:00,134.58,261.69
01-03-2018 00:00,120.36,244.28
02-03-2018 00:00,149.3,245.39
03-03-2018 00:00,105.52,182.95
04-03-2018 00:00,95.79,187.87
05-03-2018 00:00,86.44,153.61
06-03-2018 00:00,93.25,159.67
07-03-2018 00:00,102.69,191.06
08-03-2018 00:00,158.53,303.78
09-03-2018 00:00,166.09,322.06
10-03-2018 00:00,82.74,170.49
11-03-2018 00:00,103.32,194.88
12-03-2018 00:00,118.84,230.73
13-03-2018 00:00,149.77,260.91
14-03-2018 00:00,153.94,316.69
15-03-2018 00:00,124.66,249.43
16-03-2018 00:00,129.71,259.48
17-03-2018 00:00,114.17,187.57
18-03-2018 00:00,109.64,204.21
19-03-2018 00:00,101.57,201.17
20-03-2018 00:00,122.24,266.38
21-03-2018 00:00,160.56,251.28
22-03-2018 00:00,92,154.76
23-03-2018 00:00,77.6,169.58
24-03-2018 00:00,91.19,184.78
25-03-2018 00:00,118.36,206.37
26-03-2018 00:00,115.8,204.83
27-03-2018 00:00,135.46,186.7
28-03-2018 00:00,141.64,109.71
29-03-2018 00:00,102.35,184.77
30-03-2018 00:00,132.03,221.52
31-03-2018 00:00,112.67,236.74
01-04-2018 00:00,102.07,155.67
02-04-2018 00:00,117.97,192.46
03-04-2018 00:00,133.64,202.08
04-04-2018 00:00,153.87,255.87
05-04-2018 00:00,213.11,340.51
06-04-2018 00:00,163.75,203.9
07-04-2018 00:00,65.58,113.53
08-04-2018 00:00,59.49,118.57
09-04-2018 00:00,55.64,91.47
10-04-2018 00:00,108.9,195.32
11-04-2018 00:00,53.17,98.27
12-04-2018 00:00,87.08,118.28
13-04-2018 00:00,127.34,221.65
14-04-2018 00:00,141.84,251.72
15-04-2018 00:00,139.17,280.42
16-04-2018 00:00,156.43,306.3
17-04-2018 00:00,114.13,242.92
18-04-2018 00:00,148.95,233.43
19-04-2018 00:00,148.95,270.52
20-04-2018 00:00,193.91,337.52
21-04-2018 00:00,239.1,464
22-04-2018 00:00,104.64,177.29
23-04-2018 00:00,120.9,201.38
24-04-2018 00:00,151.54,263.5
25-04-2018 00:00,182.8,303.71
26-04-2018 00:00,187.61,352.35
27-04-2018 00:00,117.92,254.85
28-04-2018 00:00,None,None
29-04-2018 00:00,None,None
30-04-2018 00:00,99.43,187.44
01-05-2018 00:00,50.77,114.05
02-05-2018 00:00,88.48,157.9
03-05-2018 00:00,65.64,118.39
04-05-2018 00:00,100.91,89.02
05-05-2018 00:00,79.67,278.43
06-05-2018 00:00,106.42,306.1
07-05-2018 00:00,112.8,471.25
08-05-2018 00:00,38.66,311.91
09-05-2018 00:00,65.61,164.65
10-05-2018 00:00,96.4,218.32
11-05-2018 00:00,136.37,310.68
12-05-2018 00:00,149.24,337.07
13-05-2018 00:00,73.79,181.82
14-05-2018 00:00,46.84,134.43
15-05-2018 00:00,64.14,163.53
16-05-2018 00:00,72.89,251.4
17-05-2018 00:00,94.97,290.49
18-05-2018 00:00,84.43,241.94
19-05-2018 00:00,101.15,288.8
20-05-2018 00:00,81.4,251.45
21-05-2018 00:00,67.27,229.55
22-05-2018 00:00,92.74,302.2
23-05-2018 00:00,143.9,389.25
24-05-2018 00:00,139.69,355.31
25-05-2018 00:00,109.51,313.4
26-05-2018 00:00,110.03,327.48
27-05-2018 00:00,90.86,303.99
28-05-2018 00:00,96.87,263.15
29-05-2018 00:00,126.24,314.31
30-05-2018 00:00,50.1,238.19
31-05-2018 00:00,65.8,214.92
01-06-2018 00:00,79.88,195.31
02-06-2018 00:00,62.99,115.08
03-06-2018 00:00,48.53,115.04
04-06-2018 00:00,74.01,156.44
05-06-2018 00:00,37.87,114.58
06-06-2018 00:00,65.44,133.45
07-06-2018 00:00,84.66,140.38
08-06-2018 00:00,83.58,165.02
09-06-2018 00:00,47.19,124.34
10-06-2018 00:00,48.91,142.06
11-06-2018 00:00,69.64,244.31
12-06-2018 00:00,135.95,501.93
13-06-2018 00:00,235.65,869.52
14-06-2018 00:00,176.81,732.5
15-06-2018 00:00,110.47,579.34
16-06-2018 00:00,94.22,467.19
